"<DATE>","<CLOSE>"
"2/5/2020","90.5"
"2/6/2020","88.91"
"2/7/2020","88.2"
"2/10/2020","90.69"
"2/11/2020","91.95"
"2/12/2020","91"
"2/13/2020","90.07"
"2/14/2020","90.25"
"2/17/2020","90.22"
"2/18/2020","89.02"
"2/19/2020","89.77"
"2/20/2020","89.29"
"2/21/2020","89.24"
"2/25/2020","89.2"
"2/26/2020","88.2"
"2/27/2020","86.5"
"2/28/2020","86.68"
"3/2/2020","86.92"
"3/3/2020","86.36"
"3/4/2020","83.93"
"3/5/2020","82.27"
"3/6/2020","80.17"
"3/10/2020","75"
"3/11/2020","71.56"
"3/12/2020","64"
"3/13/2020","64.15"
"3/16/2020","67.18"
"3/17/2020","68.27"
"3/18/2020","68"
"3/19/2020","69.5"
"3/20/2020","66.37"
"3/23/2020","65.4"
"3/24/2020","67.1"
"3/25/2020","68.07"
"3/26/2020","69.88"
"3/27/2020","67.19"
"3/30/2020","70.72"
"3/31/2020","74"
"4/1/2020","72"
"4/2/2020","72"
"4/3/2020","73.59"
"4/6/2020","76.53"
"4/7/2020","78.67"
"4/8/2020","79"
"4/9/2020","78.45"
"4/10/2020","78.17"
"4/13/2020","77"
"4/14/2020","78.7"
"4/15/2020","77.81"
"4/16/2020","78.13"
"4/17/2020","78.26"
"4/20/2020","78.06"
"4/21/2020","77.08"
"4/22/2020","77.23"
"4/23/2020","78"
"4/24/2020","77.38"
"4/27/2020","79.12"
"4/28/2020","81.9"
"4/29/2020","82.7"
"4/30/2020","82.1"
"5/4/2020","82.76"
"5/5/2020","82.42"
"5/6/2020","81.6"
"5/7/2020","81.94"
"5/8/2020","82.55"
"5/12/2020","81.8"
"5/13/2020","80.15"
"5/14/2020","81.95"
"5/15/2020","80.88"
"5/18/2020","82.38"
"5/19/2020","82.84"
"5/20/2020","82.2"
"5/21/2020","81.46"
"5/22/2020","81.62"
"5/25/2020","82.03"
"5/26/2020","81.52"
"5/27/2020","81.21"
"5/28/2020","82.4"
"5/29/2020","82.92"
"6/1/2020","83.5"
"6/2/2020","84.44"
"6/3/2020","84.72"
"6/4/2020","85"
"6/5/2020","84.9"
"6/8/2020","84.2"
"6/9/2020","84.9"
"6/10/2020","84.98"
"6/11/2020","84"
"6/15/2020","82.68"
"6/16/2020","82.56"
"6/17/2020","82.69"
"6/18/2020","84.5"
"6/19/2020","86.8"
"6/22/2020","86"
"6/23/2020","85.26"
"6/25/2020","86.96"
"6/26/2020","89.12"
"6/29/2020","87.7"
"6/30/2020","87.7"
"7/2/2020","87.63"
"7/3/2020","88.09"
"7/6/2020","89.1"
"7/7/2020","88"
"7/8/2020","86.6"
"7/9/2020","85.6"
"7/10/2020","87.03"
"7/13/2020","86.85"
"7/14/2020","85.7"
"7/15/2020","86.5"
"7/16/2020","86.7"
"7/17/2020","86.98"
"7/20/2020","88.64"
"7/21/2020","88.1"
"7/22/2020","89.87"
"7/23/2020","89.63"
"7/24/2020","89.5"
"7/27/2020","90"
"7/28/2020","90.23"
"7/29/2020","91.24"
"7/30/2020","90.22"
"7/31/2020","89.88"
"8/3/2020","90.7"
"8/4/2020","93.28"
"8/5/2020","97.74"
"8/6/2020","96.56"
"8/7/2020","96.11"
"8/10/2020","96.83"
"8/11/2020","97.25"
"8/12/2020","97.48"
"8/13/2020","98.18"
"8/14/2020","99.28"
"8/17/2020","99.94"
"8/18/2020","100.15"
"8/19/2020","101.5"
"8/20/2020","97.45"
"8/21/2020","96.62"
"8/24/2020","97.79"
"8/25/2020","96.91"
"8/26/2020","97.81"
"8/27/2020","96.95"
"8/28/2020","97.14"
"8/31/2020","96.63"
"9/1/2020","97.29"
"9/2/2020","95.97"
"9/3/2020","96.88"
"9/4/2020","97.23"
"9/7/2020","96.46"
"9/8/2020","95.01"
"9/9/2020","94.5"
"9/10/2020","94.82"
"9/11/2020","94.92"
"9/14/2020","95.37"
"9/15/2020","96.19"
"9/16/2020","96.7"
"9/17/2020","96.98"
"9/18/2020","97.56"
"9/21/2020","96.73"
"9/22/2020","97.28"
"9/23/2020","98.21"
"9/24/2020","96.79"
"9/25/2020","98.5"
"9/28/2020","99.25"
"9/29/2020","99.44"
"9/30/2020","98.41"
"10/1/2020","96.87"
"10/2/2020","97.02"
"10/5/2020","95.98"
"10/6/2020","96.21"
"10/7/2020","95.56"
"10/8/2020","94.8"
"10/9/2020","92.9"
"10/12/2020","93.89"
"10/13/2020","94.41"
"10/14/2020","94.99"
"10/15/2020","93.48"
"10/16/2020","94.18"
"10/19/2020","93.68"
"10/20/2020","95.04"
"10/21/2020","94.05"
"10/22/2020","94.71"
"10/23/2020","95.35"
