<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHFUSD,D,05/02/21,000000,1.1059200,1.1122600,1.1051000,1.1120000,2746
CHFUSD,D,07/02/21,000000,1.1121000,1.1124400,1.1103800,1.1120700,472
CHFUSD,D,08/02/21,000000,1.1121000,1.1130800,1.1083000,1.1125500,3049
CHFUSD,D,09/02/21,000000,1.1124600,1.1209100,1.1122000,1.1201200,3138
CHFUSD,D,10/02/21,000000,1.1201500,1.1246200,1.1193000,1.1228000,3054
CHFUSD,D,11/02/21,000000,1.1226000,1.1243900,1.1218000,1.1232600,2889
CHFUSD,D,12/02/21,000000,1.1231900,1.1234700,1.1182000,1.1208000,2819
CHFUSD,D,14/02/21,000000,1.1209000,1.1246000,1.1195200,1.1207000,358
CHFUSD,D,15/02/21,000000,1.1209800,1.1237000,1.1201000,1.1235000,3032
CHFUSD,D,16/02/21,000000,1.1234800,1.1270200,1.1183000,1.1188700,3091
CHFUSD,D,17/02/21,000000,1.1188400,1.1199300,1.1116600,1.1125000,3137
CHFUSD,D,18/02/21,000000,1.1126900,1.1162500,1.1113000,1.1157300,3010
CHFUSD,D,19/02/21,000000,1.1158700,1.1190900,1.1141000,1.1150000,2910
CHFUSD,D,21/02/21,000000,1.1154000,1.1157000,1.1140000,1.1148400,363
CHFUSD,D,22/02/21,000000,1.1149100,1.1172200,1.1080700,1.1158000,3108
CHFUSD,D,23/02/21,000000,1.1160800,1.1172600,1.1038000,1.1044600,3149
CHFUSD,D,24/02/21,000000,1.1045200,1.1048000,1.0992000,1.1026800,3153
CHFUSD,D,25/02/21,000000,1.1025400,1.1074200,1.1011000,1.1039300,3271
CHFUSD,D,26/02/21,000000,1.1041100,1.1075900,1.0983000,1.1002000,3126
CHFUSD,D,28/02/21,000000,1.1002000,1.1019300,1.0991700,1.1019300,347
CHFUSD,D,01/03/21,000000,1.1019200,1.1022300,1.0914000,1.0926500,3140
CHFUSD,D,02/03/21,000000,1.0927000,1.0942900,1.0874000,1.0925400,3120
CHFUSD,D,03/03/21,000000,1.0926400,1.0938000,1.0865000,1.0866900,3014
CHFUSD,D,04/03/21,000000,1.0866800,1.0880100,1.0752000,1.0759000,3198
CHFUSD,D,05/03/21,000000,1.0758800,1.0798800,1.0728000,1.0737000,3028
CHFUSD,D,07/03/21,000000,1.0733300,1.0761000,1.0729100,1.0748200,285
CHFUSD,D,08/03/21,000000,1.0747500,1.0753100,1.0669000,1.0680100,3175
CHFUSD,D,09/03/21,000000,1.0680500,1.0778000,1.0663000,1.0771800,3202
CHFUSD,D,10/03/21,000000,1.0771500,1.0772300,1.0722000,1.0750000,3145
CHFUSD,D,11/03/21,000000,1.0751300,1.0826500,1.0738000,1.0810900,3163
CHFUSD,D,12/03/21,000000,1.0810700,1.0813200,1.0722000,1.0754000,2942
CHFUSD,D,14/03/21,000000,1.0757000,1.0765000,1.0728600,1.0757000,460
CHFUSD,D,15/03/21,000000,1.0757200,1.0788400,1.0735000,1.0777100,3110
CHFUSD,D,16/03/21,000000,1.0778200,1.0817400,1.0764000,1.0805000,3091
CHFUSD,D,17/03/21,000000,1.0809000,1.0851200,1.0754000,1.0839000,3115
CHFUSD,D,18/03/21,000000,1.0840200,1.0845000,1.0743000,1.0781100,3199
CHFUSD,D,19/03/21,000000,1.0780300,1.0807000,1.0728000,1.0758000,2858
CHFUSD,D,21/03/21,000000,1.0759600,1.0760000,1.0730000,1.0750000,511
CHFUSD,D,22/03/21,000000,1.0750900,1.0840800,1.0738000,1.0827600,3079
CHFUSD,D,23/03/21,000000,1.0826700,1.0828800,1.0694000,1.0698500,3066
CHFUSD,D,24/03/21,000000,1.0700000,1.0707700,1.0669000,1.0681900,3114
CHFUSD,D,25/03/21,000000,1.0681700,1.0693600,1.0631000,1.0641100,3167
CHFUSD,D,26/03/21,000000,1.0641300,1.0655900,1.0615000,1.0644000,2769
CHFUSD,D,28/03/21,000000,1.0646100,1.0649600,1.0630000,1.0640300,372
CHFUSD,D,29/03/21,000000,1.0641400,1.0670100,1.0628000,1.0644000,3049
CHFUSD,D,30/03/21,000000,1.0647300,1.0649200,1.0592000,1.0613000,2968
CHFUSD,D,31/03/21,000000,1.0615900,1.0631600,1.0569000,1.0590000,3123
CHFUSD,D,01/04/21,000000,1.0593300,1.0630300,1.0554000,1.0610000,3092
CHFUSD,D,02/04/21,000000,1.0612400,1.0630600,1.0585800,1.0604000,2472
CHFUSD,D,04/04/21,000000,1.0608000,1.0612900,1.0572000,1.0611000,375
CHFUSD,D,05/04/21,000000,1.0611800,1.0687700,1.0591000,1.0678000,2863
CHFUSD,D,06/04/21,000000,1.0681100,1.0747400,1.0639000,1.0740500,3077
CHFUSD,D,07/04/21,000000,1.0740700,1.0787600,1.0732000,1.0755000,3007
CHFUSD,D,08/04/21,000000,1.0757200,1.0829000,1.0746000,1.0818200,2966
CHFUSD,D,09/04/21,000000,1.0817800,1.0824500,1.0772000,1.0813000,2707
CHFUSD,D,11/04/21,000000,1.0814000,1.0819000,1.0792200,1.0802900,360
CHFUSD,D,12/04/21,000000,1.0801900,1.0852400,1.0787000,1.0840000,3012
CHFUSD,D,13/04/21,000000,1.0839900,1.0869400,1.0795000,1.0863900,3027
CHFUSD,D,14/04/21,000000,1.0864300,1.0882700,1.0824500,1.0835200,3034
CHFUSD,D,15/04/21,000000,1.0833400,1.0859800,1.0814000,1.0842000,3049
CHFUSD,D,16/04/21,000000,1.0843400,1.0890100,1.0825000,1.0875000,2762
CHFUSD,D,18/04/21,000000,1.0869000,1.0891000,1.0856000,1.0861500,331
CHFUSD,D,19/04/21,000000,1.0860800,1.0951800,1.0848000,1.0924000,3076
CHFUSD,D,20/04/21,000000,1.0927500,1.0944700,1.0903000,1.0912000,3025
CHFUSD,D,21/04/21,000000,1.0913300,1.0922700,1.0872000,1.0906100,3045
CHFUSD,D,22/04/21,000000,1.0906400,1.0934500,1.0877700,1.0899000,3060
CHFUSD,D,23/04/21,000000,1.0901300,1.0953100,1.0897000,1.0941000,2767
CHFUSD,D,25/04/21,000000,1.0940000,1.0961000,1.0932000,1.0938800,374
