<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,D,05/02/21,000000,1.1966300,1.2050000,1.1951000,1.2047600,1252436
EURUSD,D,07/02/21,000000,1.2046000,1.2055100,1.2032700,1.2048400,62882
EURUSD,D,08/02/21,000000,1.2048400,1.2066000,1.2018000,1.2051000,1135262
EURUSD,D,09/02/21,000000,1.2052200,1.2122000,1.2048000,1.2115600,948341
EURUSD,D,10/02/21,000000,1.2115800,1.2144100,1.2107000,1.2119100,1347315
EURUSD,D,11/02/21,000000,1.2117900,1.2149500,1.2111000,1.2129700,1071790
EURUSD,D,12/02/21,000000,1.2129700,1.2133200,1.2080000,1.2119000,1064696
EURUSD,D,14/02/21,000000,1.2098000,1.2125300,1.2091000,1.2120200,40138
EURUSD,D,15/02/21,000000,1.2120400,1.2145200,1.2115000,1.2131900,859406
EURUSD,D,16/02/21,000000,1.2131200,1.2169500,1.2084000,1.2087800,1349738
EURUSD,D,17/02/21,000000,1.2088200,1.2098500,1.2021000,1.2044400,1397992
EURUSD,D,18/02/21,000000,1.2045200,1.2095800,1.2034000,1.2090800,1264105
EURUSD,D,19/02/21,000000,1.2091800,1.2144500,1.2080000,1.2116700,1196032
EURUSD,D,21/02/21,000000,1.2111400,1.2129200,1.2111400,1.2124600,45934
EURUSD,D,22/02/21,000000,1.2123700,1.2169500,1.2089000,1.2162800,1393701
EURUSD,D,23/02/21,000000,1.2163700,1.2180100,1.2133000,1.2150500,1386454
EURUSD,D,24/02/21,000000,1.2149800,1.2174700,1.2107000,1.2168500,1754442
EURUSD,D,25/02/21,000000,1.2169400,1.2243200,1.2154000,1.2157400,2186811
EURUSD,D,26/02/21,000000,1.2157500,1.2182600,1.2060000,1.2071000,2459503
EURUSD,D,28/02/21,000000,1.2068000,1.2092000,1.2066500,1.2090400,65299
EURUSD,D,01/03/21,000000,1.2090200,1.2101200,1.2026000,1.2048500,1573284
EURUSD,D,02/03/21,000000,1.2047700,1.2094500,1.1990000,1.2084900,1630822
EURUSD,D,03/03/21,000000,1.2084100,1.2113300,1.2041000,1.2046400,1639801
EURUSD,D,04/03/21,000000,1.2046300,1.2063200,1.1959000,1.1967200,2025842
EURUSD,D,05/03/21,000000,1.1967200,1.1968700,1.1892000,1.1911000,2081281
EURUSD,D,07/03/21,000000,1.1912800,1.1932100,1.1912000,1.1925900,67199
EURUSD,D,08/03/21,000000,1.1925300,1.1932400,1.1842000,1.1850300,1764002
EURUSD,D,09/03/21,000000,1.1850800,1.1915800,1.1834000,1.1896900,1718099
EURUSD,D,10/03/21,000000,1.1896800,1.1930000,1.1867000,1.1924200,1585964
EURUSD,D,11/03/21,000000,1.1924200,1.1990000,1.1914000,1.1980800,1567034
EURUSD,D,12/03/21,000000,1.1980900,1.1988500,1.1908000,1.1951600,1452230
EURUSD,D,14/03/21,000000,1.1938000,1.1954400,1.1938000,1.1949300,66758
EURUSD,D,15/03/21,000000,1.1949900,1.1967500,1.1909000,1.1925400,1230337
EURUSD,D,16/03/21,000000,1.1926400,1.1951900,1.1881000,1.1901600,1263439
EURUSD,D,17/03/21,000000,1.1901300,1.1987500,1.1884000,1.1982600,1365070
EURUSD,D,18/03/21,000000,1.1982200,1.1988900,1.1904000,1.1917400,1598470
EURUSD,D,19/03/21,000000,1.1916900,1.1937200,1.1872000,1.1904000,1316586
EURUSD,D,21/03/21,000000,1.1903200,1.1903200,1.1870000,1.1883500,64404
