<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,05/02/20,000000,230.8900000,235.7300000,228.8000000,232.5600000,61685530
GAZP,D,06/02/20,000000,234.0400000,236.0000000,230.1500000,231.3800000,42561470
GAZP,D,07/02/20,000000,232.3800000,233.3900000,227.1400000,229.1100000,49649900
GAZP,D,10/02/20,000000,228.5800000,229.7500000,224.4100000,225.2000000,50466570
GAZP,D,11/02/20,000000,226.5600000,236.1800000,226.0100000,233.9000000,95547840
GAZP,D,12/02/20,000000,235.2000000,239.8000000,234.5600000,238.0300000,83138320
GAZP,D,13/02/20,000000,236.9000000,237.9800000,233.5500000,233.5500000,41949600
GAZP,D,14/02/20,000000,233.7900000,235.4000000,230.9100000,232.5000000,34339380
GAZP,D,17/02/20,000000,233.4000000,234.5600000,231.9100000,233.7500000,20525270
GAZP,D,18/02/20,000000,232.9700000,233.2800000,229.8000000,230.5000000,30822280
GAZP,D,19/02/20,000000,231.8400000,233.5000000,230.7100000,231.9000000,24383830
GAZP,D,20/02/20,000000,232.5500000,235.7500000,232.0000000,234.6000000,33547100
GAZP,D,21/02/20,000000,233.2000000,233.7700000,231.6100000,232.0000000,29613730
GAZP,D,25/02/20,000000,227.9900000,230.0600000,224.6800000,224.6800000,51889790
GAZP,D,26/02/20,000000,223.3200000,225.4700000,220.8100000,224.7600000,63577060
GAZP,D,27/02/20,000000,220.9900000,223.4000000,216.8000000,217.5000000,82610580
GAZP,D,28/02/20,000000,210.0000000,211.9700000,200.5700000,202.6500000,168877890
GAZP,D,02/03/20,000000,207.9900000,211.9900000,195.5100000,198.7800000,151413660
GAZP,D,03/03/20,000000,204.7800000,205.2700000,198.0000000,201.4800000,104199970
GAZP,D,04/03/20,000000,199.9000000,204.4200000,198.2800000,200.0000000,78621910
GAZP,D,05/03/20,000000,203.0000000,203.4300000,197.5000000,198.0000000,65760320
