<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,D,05/02/21,000000,59.1700000,59.7800000,59.0800000,59.6200000,117936
ICE.BRN,D,07/02/21,000000,59.4300000,59.9100000,59.4300000,59.9100000,2225
ICE.BRN,D,08/02/21,000000,59.9100000,60.7200000,59.7700000,60.6600000,155064
ICE.BRN,D,09/02/21,000000,60.8000000,61.3400000,60.0500000,61.2900000,167657
ICE.BRN,D,10/02/21,000000,61.2100000,61.6900000,60.8700000,61.1000000,147101
ICE.BRN,D,11/02/21,000000,61.0100000,61.5000000,60.7200000,60.8600000,106883
ICE.BRN,D,12/02/21,000000,60.8200000,62.8300000,60.3500000,62.7100000,166393
ICE.BRN,D,13/02/21,000000,62.4300000,62.4300000,62.4300000,62.4300000,1
ICE.BRN,D,14/02/21,000000,62.8300000,63.4400000,62.8200000,63.0900000,4264
ICE.BRN,D,15/02/21,000000,63.0900000,63.7600000,63.0500000,63.3300000,115472
ICE.BRN,D,16/02/21,000000,63.4700000,63.7000000,62.6900000,63.5600000,168745
ICE.BRN,D,17/02/21,000000,63.1500000,64.9600000,62.7300000,64.8900000,204702
ICE.BRN,D,18/02/21,000000,65.0200000,65.5200000,63.2200000,63.5300000,193223
ICE.BRN,D,19/02/21,000000,63.3000000,63.9400000,62.0900000,62.8400000,161564
ICE.BRN,D,20/02/21,000000,62.9100000,62.9100000,62.9100000,62.9100000,1
ICE.BRN,D,21/02/21,000000,62.6800000,63.3600000,62.5500000,63.3200000,1185
ICE.BRN,D,22/02/21,000000,63.3100000,65.8500000,63.1800000,65.8000000,130217
ICE.BRN,D,23/02/21,000000,65.5100000,66.7900000,64.4700000,65.0900000,121591
ICE.BRN,D,24/02/21,000000,65.0600000,67.3100000,64.8000000,67.3100000,49030
ICE.BRN,D,25/02/21,000000,67.2000000,67.7000000,66.4800000,67.0800000,31444
ICE.BRN,D,26/02/21,000000,66.8900000,66.9000000,64.2500000,64.6300000,167246
ICE.BRN,D,27/02/21,000000,64.4200000,64.4200000,64.4200000,64.4200000,1
ICE.BRN,D,28/02/21,000000,64.8500000,65.4100000,64.6900000,65.3800000,2112
ICE.BRN,D,01/03/21,000000,65.3900000,65.9300000,63.1700000,63.3100000,186951
ICE.BRN,D,02/03/21,000000,63.1200000,64.1300000,62.3800000,62.6200000,210927
ICE.BRN,D,03/03/21,000000,62.3800000,64.7000000,62.3800000,63.9900000,209282
ICE.BRN,D,04/03/21,000000,64.1000000,67.7500000,63.3300000,67.2600000,319496
ICE.BRN,D,05/03/21,000000,67.1600000,69.6900000,66.6700000,69.6900000,219360
ICE.BRN,D,06/03/21,000000,69.3600000,69.3600000,69.3600000,69.3600000,1
ICE.BRN,D,07/03/21,000000,69.9700000,71.1600000,69.9400000,70.4200000,6531
ICE.BRN,D,08/03/21,000000,70.4400000,71.3800000,67.8000000,68.1200000,211363
ICE.BRN,D,09/03/21,000000,68.1300000,69.3300000,67.1200000,67.3000000,174218
ICE.BRN,D,10/03/21,000000,67.4600000,68.4200000,66.5000000,68.1800000,214312
ICE.BRN,D,11/03/21,000000,68.4500000,69.8400000,67.9900000,69.6200000,163237
ICE.BRN,D,12/03/21,000000,69.5900000,69.9000000,69.0300000,69.2300000,133248
ICE.BRN,D,14/03/21,000000,69.0800000,69.7200000,69.0700000,69.5000000,1612
ICE.BRN,D,15/03/21,000000,69.4900000,70.0300000,67.8200000,68.7900000,167130
ICE.BRN,D,16/03/21,000000,68.8100000,68.9400000,67.3600000,68.4700000,149275
ICE.BRN,D,17/03/21,000000,68.3900000,68.8900000,66.9600000,67.7400000,180678
ICE.BRN,D,18/03/21,000000,67.7700000,68.1500000,61.4500000,62.8700000,334604
ICE.BRN,D,19/03/21,000000,62.9900000,64.9500000,62.0700000,64.4600000,263030
ICE.BRN,D,21/03/21,000000,64.5300000,64.7600000,63.9200000,63.9700000,1354
ICE.BRN,D,22/03/21,000000,63.9900000,65.1200000,63.4500000,64.2900000,131287
ICE.BRN,D,23/03/21,000000,64.3000000,64.3000000,60.2700000,60.3800000,218034
ICE.BRN,D,24/03/21,000000,60.5000000,64.5700000,60.4700000,64.2200000,160551
ICE.BRN,D,25/03/21,000000,63.9900000,64.1900000,60.9800000,61.8400000,141197
ICE.BRN,D,26/03/21,000000,62.0100000,64.7500000,61.8500000,64.2200000,134804
ICE.BRN,D,28/03/21,000000,64.4300000,64.4800000,63.9400000,64.3700000,2205
ICE.BRN,D,29/03/21,000000,64.3700000,65.3400000,63.0100000,65.1900000,183264
ICE.BRN,D,30/03/21,000000,65.3900000,65.3900000,63.5000000,64.0200000,174893
ICE.BRN,D,31/03/21,000000,63.9500000,64.8300000,62.5300000,63.0700000,198324
ICE.BRN,D,01/04/21,000000,63.1200000,65.1700000,62.3800000,64.6500000,304764
ICE.BRN,D,04/04/21,000000,64.5700000,64.8100000,64.2700000,64.6500000,2553
