<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
INDEX.CSI300,D,05/02/21,000000,5494.7011000,5550.7687000,5477.8315000,5483.4140000,2920
INDEX.CSI300,D,08/02/21,000000,5506.1423000,5576.4908000,5479.9076000,5564.5618000,2638
INDEX.CSI300,D,09/02/21,000000,5584.1650000,5686.2502000,5555.0537000,5686.2502000,2601
INDEX.CSI300,D,10/02/21,000000,5709.6840000,5823.3053000,5707.3295000,5807.7191000,2382
INDEX.CSI300,D,18/02/21,000000,5922.0714000,5930.8375000,5747.6631000,5768.3814000,2884
INDEX.CSI300,D,19/02/21,000000,5734.0193000,5787.8111000,5667.6283000,5778.8420000,2875
INDEX.CSI300,D,22/02/21,000000,5785.5097000,5785.5097000,5597.3327000,5597.3327000,2605
INDEX.CSI300,D,23/02/21,000000,5542.6841000,5644.5355000,5541.1092000,5579.6681000,2862
INDEX.CSI300,D,24/02/21,000000,5591.4795000,5598.6677000,5379.8349000,5437.5683000,2285
INDEX.CSI300,D,25/02/21,000000,5494.4706000,5527.5272000,5444.1646000,5469.5584000,2978
INDEX.CSI300,D,26/02/21,000000,5343.9041000,5415.9625000,5318.9038000,5336.7609000,2555
INDEX.CSI300,D,01/03/21,000000,5389.2499000,5421.3990000,5345.9449000,5418.7837000,2684
INDEX.CSI300,D,02/03/21,000000,5453.2847000,5454.9687000,5305.1924000,5349.6301000,2431
INDEX.CSI300,D,03/03/21,000000,5327.3467000,5452.3960000,5316.4809000,5452.2125000,2624
INDEX.CSI300,D,04/03/21,000000,5388.4785000,5392.3725000,5254.8810000,5280.7058000,2889
INDEX.CSI300,D,05/03/21,000000,5191.9699000,5307.5389000,5174.2458000,5262.7958000,2649
INDEX.CSI300,D,08/03/21,000000,5299.7907000,5326.0330000,5079.7984000,5080.0246000,2660
INDEX.CSI300,D,09/03/21,000000,5066.1546000,5094.2965000,4917.9090000,4970.9994000,2744
INDEX.CSI300,D,10/03/21,000000,5047.0589000,5055.1054000,4981.7960000,5003.6121000,2828
INDEX.CSI300,D,11/03/21,000000,5024.5586000,5138.1918000,5020.7109000,5128.2156000,2610
INDEX.CSI300,D,12/03/21,000000,5153.6740000,5153.6740000,5086.9146000,5146.3786000,2408
INDEX.CSI300,D,15/03/21,000000,5116.1228000,5120.5273000,4992.4154000,5035.5441000,2617
INDEX.CSI300,D,16/03/21,000000,5054.4089000,5084.0995000,5010.4071000,5079.3624000,2383
INDEX.CSI300,D,17/03/21,000000,5062.7706000,5123.5452000,5020.1255000,5100.8581000,2571
INDEX.CSI300,D,18/03/21,000000,5114.5872000,5160.3553000,5111.1294000,5141.7681000,2442
INDEX.CSI300,D,19/03/21,000000,5068.5319000,5089.7779000,4980.8500000,5007.0907000,2316
INDEX.CSI300,D,22/03/21,000000,5008.3953000,5071.3378000,4996.5410000,5057.1520000,2728
INDEX.CSI300,D,23/03/21,000000,5057.0632000,5063.9892000,4966.5340000,5009.2459000,2612
INDEX.CSI300,D,24/03/21,000000,4985.4013000,5024.3274000,4919.8932000,4928.6853000,2880
INDEX.CSI300,D,25/03/21,000000,4904.0683000,4950.7608000,4883.6615000,4926.3469000,3016
INDEX.CSI300,D,26/03/21,000000,4953.9453000,5050.5728000,4953.9453000,5037.9899000,2793
INDEX.CSI300,D,29/03/21,000000,5052.2634000,5086.3564000,5010.4163000,5046.8773000,2430
INDEX.CSI300,D,30/03/21,000000,5043.0952000,5105.7339000,5032.9113000,5094.7291000,2660
INDEX.CSI300,D,31/03/21,000000,5085.9497000,5085.9497000,5015.6070000,5048.3607000,2574
INDEX.CSI300,D,01/04/21,000000,5059.9359000,5115.3358000,5057.6834000,5110.7768000,2905
INDEX.CSI300,D,02/04/21,000000,5129.8545000,5169.5814000,5116.5164000,5161.5569000,2313
INDEX.CSI300,D,06/04/21,000000,5178.6401000,5180.7039000,5125.3358000,5140.3418000,2276
INDEX.CSI300,D,07/04/21,000000,5141.6556000,5141.6556000,5065.2451000,5103.7428000,2870
INDEX.CSI300,D,08/04/21,000000,5078.2627000,5128.9431000,5062.0725000,5112.2086000,2915
INDEX.CSI300,D,09/04/21,000000,5100.0422000,5100.0422000,5022.3861000,5035.3374000,2412
INDEX.CSI300,D,12/04/21,000000,5026.9791000,5045.6018000,4933.0426000,4947.7459000,2531
INDEX.CSI300,D,13/04/21,000000,4949.8074000,4994.2783000,4924.2559000,4939.6438000,2592
INDEX.CSI300,D,14/04/21,000000,4945.6857000,4987.1191000,4940.2686000,4980.6279000,2515
INDEX.CSI300,D,15/04/21,000000,4969.9099000,4969.9099000,4900.3494000,4948.9741000,2174
INDEX.CSI300,D,16/04/21,000000,4966.8999000,4979.0907000,4918.1170000,4966.1811000,2268
INDEX.CSI300,D,19/04/21,000000,4966.4090000,5088.2067000,4941.0492000,5087.0165000,2309
INDEX.CSI300,D,20/04/21,000000,5065.7757000,5119.7308000,5059.2460000,5083.3654000,2763
INDEX.CSI300,D,21/04/21,000000,5055.2398000,5110.3826000,5048.1177000,5098.7449000,2750
INDEX.CSI300,D,22/04/21,000000,5114.2799000,5118.9817000,5067.2166000,5089.2435000,2921
INDEX.CSI300,D,23/04/21,000000,5088.8263000,5149.9825000,5086.7617000,5135.4534000,2855
INDEX.CSI300,D,26/04/21,000000,5156.5941000,5181.1066000,5073.0499000,5077.2372000,2851
INDEX.CSI300,D,27/04/21,000000,5076.6415000,5095.9842000,5042.6099000,5090.5195000,2801
