<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.NG,D,05/02/21,000000,2.9680000,3.0570000,2.8510000,2.8820000,128741
NYMEX.NG,D,07/02/21,000000,2.9090000,2.9200000,2.8860000,2.9080000,2188
NYMEX.NG,D,08/02/21,000000,2.9070000,2.9850000,2.8440000,2.9140000,91746
NYMEX.NG,D,09/02/21,000000,2.9140000,2.9270000,2.7880000,2.8170000,94527
NYMEX.NG,D,10/02/21,000000,2.8180000,3.0010000,2.7410000,2.9880000,121778
NYMEX.NG,D,11/02/21,000000,2.9860000,3.0450000,2.8390000,2.8620000,150328
NYMEX.NG,D,12/02/21,000000,2.8620000,2.9870000,2.8340000,2.8970000,117505
NYMEX.NG,D,14/02/21,000000,3.0460000,3.0510000,3.0070000,3.0350000,4691
NYMEX.NG,D,15/02/21,000000,3.0350000,3.0950000,2.9760000,3.0660000,34276
NYMEX.NG,D,16/02/21,000000,3.0660000,3.2140000,3.0120000,3.0940000,162303
NYMEX.NG,D,17/02/21,000000,3.0940000,3.3160000,3.0490000,3.2620000,143163
NYMEX.NG,D,18/02/21,000000,3.2620000,3.2980000,2.9910000,3.0080000,112961
NYMEX.NG,D,19/02/21,000000,3.0090000,3.1480000,3.0040000,3.0820000,36062
NYMEX.NG,D,21/02/21,000000,3.0100000,3.0300000,3.0010000,3.0020000,622
NYMEX.NG,D,22/02/21,000000,3.0040000,3.0090000,2.8890000,2.9370000,23212
NYMEX.NG,D,23/02/21,000000,2.9380000,2.9640000,2.8540000,2.8740000,20277
NYMEX.NG,D,24/02/21,000000,2.8760000,2.8860000,2.7960000,2.8000000,4334
NYMEX.NG,D,25/02/21,000000,2.7990000,2.8550000,2.7580000,2.7590000,97390
NYMEX.NG,D,26/02/21,000000,2.7590000,2.7860000,2.6970000,2.7750000,92509
NYMEX.NG,D,28/02/21,000000,2.8000000,2.8000000,2.7850000,2.7940000,1046
NYMEX.NG,D,01/03/21,000000,2.7950000,2.8090000,2.7240000,2.7790000,58173
NYMEX.NG,D,02/03/21,000000,2.7780000,2.8570000,2.7570000,2.8470000,77406
NYMEX.NG,D,03/03/21,000000,2.8480000,2.8870000,2.7970000,2.8000000,67947
NYMEX.NG,D,04/03/21,000000,2.7980000,2.8260000,2.6840000,2.7430000,100677
NYMEX.NG,D,05/03/21,000000,2.7420000,2.7550000,2.6810000,2.6960000,70692
NYMEX.NG,D,07/03/21,000000,2.6910000,2.7060000,2.6850000,2.7050000,921
NYMEX.NG,D,08/03/21,000000,2.7050000,2.7340000,2.6230000,2.6650000,75779
NYMEX.NG,D,09/03/21,000000,2.6650000,2.6900000,2.6240000,2.6510000,60193
NYMEX.NG,D,10/03/21,000000,2.6520000,2.7070000,2.6150000,2.6850000,61503
NYMEX.NG,D,11/03/21,000000,2.6840000,2.7140000,2.6360000,2.6710000,74608
NYMEX.NG,D,12/03/21,000000,2.6720000,2.6930000,2.5840000,2.5980000,69570
NYMEX.NG,D,14/03/21,000000,2.5580000,2.5610000,2.5350000,2.5560000,3256
