<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SANDP-500,D,05/02/21,000000,3890.4800000,3894.5600000,3874.9300000,3886.8300000,15415
SANDP-500,D,08/02/21,000000,3892.5900000,3915.7700000,3892.5900000,3915.5900000,20845
SANDP-500,D,09/02/21,000000,3907.9100000,3918.3500000,3902.6400000,3911.2300000,20643
SANDP-500,D,10/02/21,000000,3920.7800000,3931.5000000,3884.9400000,3909.8800000,21341
SANDP-500,D,11/02/21,000000,3916.4000000,3925.9900000,3890.3900000,3916.3800000,21169
SANDP-500,D,12/02/21,000000,3911.6500000,3937.2300000,3905.7800000,3934.8300000,20707
SANDP-500,D,16/02/21,000000,3948.5700000,3950.4300000,3923.8500000,3932.5900000,21199
SANDP-500,D,17/02/21,000000,3918.5000000,3933.6100000,3900.4300000,3931.3300000,21329
SANDP-500,D,18/02/21,000000,3915.8600000,3921.9800000,3885.0300000,3913.9700000,21198
SANDP-500,D,19/02/21,000000,3921.1600000,3930.4100000,3903.0700000,3906.7100000,21250
SANDP-500,D,22/02/21,000000,3885.5500000,3902.9200000,3874.7100000,3876.5000000,21401
SANDP-500,D,23/02/21,000000,3852.4900000,3895.9800000,3805.5900000,3881.3700000,22074
SANDP-500,D,24/02/21,000000,3869.3000000,3928.6500000,3859.6000000,3925.4300000,21739
SANDP-500,D,25/02/21,000000,3915.8000000,3925.0200000,3814.0800000,3829.3400000,22166
SANDP-500,D,26/02/21,000000,3847.8600000,3861.0800000,3789.5400000,3811.1500000,22120
SANDP-500,D,01/03/21,000000,3861.2900000,3914.5000000,3861.1600000,3901.8200000,21435
SANDP-500,D,02/03/21,000000,3905.3800000,3906.4100000,3868.5700000,3870.2900000,21463
SANDP-500,D,03/03/21,000000,3863.3100000,3874.4700000,3818.9000000,3819.7200000,21955
SANDP-500,D,04/03/21,000000,3818.2600000,3843.3900000,3723.3400000,3768.4700000,21847
SANDP-500,D,05/03/21,000000,3793.5800000,3851.6900000,3730.1900000,3841.9400000,22137
SANDP-500,D,08/03/21,000000,3844.3900000,3881.0600000,3819.2500000,3821.3500000,22020
SANDP-500,D,09/03/21,000000,3851.9300000,3903.7600000,3851.9300000,3875.4400000,21680
SANDP-500,D,10/03/21,000000,3903.3700000,3917.3500000,3885.7300000,3898.8100000,21972
SANDP-500,D,11/03/21,000000,3925.6500000,3960.2700000,3921.5200000,3939.3400000,21348
SANDP-500,D,12/03/21,000000,3922.6600000,3944.9900000,3915.2100000,3943.3400000,21014
SANDP-500,D,15/03/21,000000,3945.0000000,3970.0700000,3923.5400000,3968.9400000,21161
SANDP-500,D,16/03/21,000000,3973.5900000,3981.0400000,3953.4400000,3962.7100000,21438
SANDP-500,D,17/03/21,000000,3947.0000000,3983.8700000,3935.7400000,3974.1200000,21622
SANDP-500,D,18/03/21,000000,3953.5000000,3969.6200000,3911.1000000,3915.4600000,21707
SANDP-500,D,19/03/21,000000,3913.1400000,3930.1200000,3886.7500000,3913.1000000,21690
SANDP-500,D,22/03/21,000000,3915.8300000,3955.3100000,3914.1600000,3940.5900000,21276
SANDP-500,D,23/03/21,000000,3934.3900000,3949.1300000,3901.5700000,3910.5200000,21687
SANDP-500,D,24/03/21,000000,3919.9300000,3942.0800000,3889.1200000,3889.1400000,21728
SANDP-500,D,25/03/21,000000,3879.3400000,3919.5400000,3853.5000000,3909.5200000,22085
SANDP-500,D,26/03/21,000000,3917.1200000,3978.1500000,3917.1200000,3974.5400000,21785
SANDP-500,D,29/03/21,000000,3962.6100000,3981.8300000,3943.2500000,3971.0900000,21656
SANDP-500,D,30/03/21,000000,3958.5500000,3968.0100000,3944.3500000,3958.5500000,21307
SANDP-500,D,31/03/21,000000,3967.4500000,3994.4100000,3966.9800000,3972.8900000,21092
SANDP-500,D,01/04/21,000000,3992.7800000,4020.6300000,3992.7800000,4019.8700000,20828
SANDP-500,D,05/04/21,000000,4047.9300000,4083.4200000,4047.2400000,4077.9100000,21048
SANDP-500,D,06/04/21,000000,4072.2200000,4086.2300000,4068.1400000,4073.9400000,21004
SANDP-500,D,07/04/21,000000,4074.2600000,4083.1300000,4068.3100000,4079.9500000,20923
SANDP-500,D,08/04/21,000000,4092.7200000,4098.1900000,4082.5400000,4097.1700000,20484
SANDP-500,D,09/04/21,000000,4096.1100000,4129.4800000,4095.5100000,4128.8000000,20543
SANDP-500,D,12/04/21,000000,4124.7100000,4131.7600000,4114.8200000,4127.9900000,20916
SANDP-500,D,13/04/21,000000,4128.3600000,4148.0000000,4124.4300000,4141.5900000,20730
SANDP-500,D,14/04/21,000000,4141.3400000,4151.6900000,4120.8700000,4124.6600000,21231
SANDP-500,D,15/04/21,000000,4148.0600000,4173.4900000,4148.0600000,4170.4200000,21003
SANDP-500,D,16/04/21,000000,4185.4800000,4191.3100000,4170.7500000,4185.4700000,20586
SANDP-500,D,19/04/21,000000,4176.7400000,4180.8100000,4150.4700000,4163.2600000,21333
SANDP-500,D,20/04/21,000000,4154.6100000,4158.4500000,4118.3800000,4134.9400000,21385
SANDP-500,D,21/04/21,000000,4126.8200000,4174.8300000,4126.3500000,4173.4200000,20794
SANDP-500,D,22/04/21,000000,4170.4600000,4179.5700000,4123.6900000,4134.9800000,21349
SANDP-500,D,23/04/21,000000,4141.0600000,4194.1700000,4139.6700000,4180.1700000,20645
SANDP-500,D,26/04/21,000000,4189.0600000,4194.1900000,4182.3600000,4187.6200000,20553
SANDP-500,D,27/04/21,000000,4189.8900000,4193.3500000,4176.2200000,4186.7200000,20557
SANDP-500,D,28/04/21,000000,4185.1400000,4201.5300000,4181.7800000,4183.1800000,21135
SANDP-500,D,29/04/21,000000,4216.5000000,4218.7800000,4176.8100000,4211.4700000,21432
SANDP-500,D,30/04/21,000000,4198.1000000,4198.1000000,4174.8500000,4181.1700000,21306
SANDP-500,D,03/05/21,000000,4191.9800000,4209.3200000,4188.0300000,4192.6600000,18811
SANDP-500,D,04/05/21,000000,4179.0400000,4179.0400000,4128.5900000,4164.6600000,21548
SANDP-500,D,05/05/21,000000,4184.8400000,4187.7200000,4160.9400000,4167.5900000,20922
SANDP-500,D,06/05/21,000000,4169.3400000,4202.2300000,4147.3300000,4201.6200000,21301
SANDP-500,D,07/05/21,000000,4210.3400000,4238.0400000,4201.6400000,4232.6000000,21003
SANDP-500,D,10/05/21,000000,4228.2900000,4236.3900000,4188.4200000,4188.4300000,21335
SANDP-500,D,11/05/21,000000,4135.0700000,4162.0400000,4111.5300000,4152.1000000,21627
SANDP-500,D,12/05/21,000000,4123.1500000,4134.7000000,4057.1000000,4063.0400000,21596
SANDP-500,D,13/05/21,000000,4080.6800000,4131.5800000,4079.7300000,4112.5000000,21664
SANDP-500,D,14/05/21,000000,4129.5800000,4183.1300000,4129.5800000,4173.8500000,20705
SANDP-500,D,17/05/21,000000,4163.9000000,4171.9200000,4142.6900000,4163.2900000,21320
SANDP-500,D,18/05/21,000000,4168.1400000,4169.1500000,4125.9900000,4127.8300000,20809
SANDP-500,D,19/05/21,000000,4073.8000000,4116.9300000,4061.4100000,4115.6800000,21399
SANDP-500,D,20/05/21,000000,4124.9500000,4172.8000000,4124.6900000,4159.1200000,19495
SANDP-500,D,21/05/21,000000,4168.6100000,4188.7200000,4151.7200000,4155.8600000,20782
SANDP-500,D,24/05/21,000000,4170.1600000,4209.5200000,4170.1600000,4197.0500000,20149
SANDP-500,D,25/05/21,000000,4205.9400000,4213.4200000,4182.5200000,4188.1300000,20820
SANDP-500,D,26/05/21,000000,4191.5900000,4202.6100000,4184.1100000,4195.9900000,20120
SANDP-500,D,27/05/21,000000,4201.9400000,4213.3800000,4197.7800000,4200.8800000,20220
SANDP-500,D,28/05/21,000000,4210.7700000,4218.3600000,4203.5700000,4204.1100000,20093
SANDP-500,D,01/06/21,000000,4231.7400000,4234.1200000,4197.5900000,4202.0400000,20335
SANDP-500,D,02/06/21,000000,4206.8200000,4217.3700000,4198.2700000,4208.1200000,20405
SANDP-500,D,03/06/21,000000,4184.0900000,4204.3900000,4167.9300000,4192.8500000,20695
SANDP-500,D,04/06/21,000000,4206.0500000,4233.4500000,4206.0500000,4229.8900000,19802
SANDP-500,D,07/06/21,000000,4229.3400000,4232.3400000,4215.6600000,4226.5200000,20511
SANDP-500,D,08/06/21,000000,4233.8100000,4235.9300000,4208.4100000,4227.2600000,20404
SANDP-500,D,09/06/21,000000,4235.0300000,4237.0900000,4218.7800000,4219.5500000,19893
SANDP-500,D,10/06/21,000000,4233.9900000,4249.7400000,4220.3400000,4239.1800000,20474
SANDP-500,D,11/06/21,000000,4242.9000000,4248.3800000,4232.2500000,4247.4400000,19634
SANDP-500,D,14/06/21,000000,4248.3100000,4255.5900000,4234.0700000,4255.1500000,20132
SANDP-500,D,15/06/21,000000,4256.8300000,4257.1600000,4238.3500000,4246.5900000,20083
SANDP-500,D,16/06/21,000000,4248.8700000,4251.8900000,4202.4500000,4223.7000000,20822
SANDP-500,D,17/06/21,000000,4220.3700000,4232.2600000,4196.0500000,4221.8600000,21396
SANDP-500,D,18/06/21,000000,4188.9000000,4193.9200000,4164.4000000,4166.4500000,20960
