<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
comex.GC,D,05/02/21,000000,1795.4000000,1816.0000000,1793.4000000,1815.2000000,150522
comex.GC,D,07/02/21,000000,1818.1000000,1819.6000000,1808.2000000,1810.7000000,20268
comex.GC,D,08/02/21,000000,1810.6000000,1844.8000000,1807.3000000,1842.5000000,166171
comex.GC,D,09/02/21,000000,1842.4000000,1849.5000000,1832.6000000,1844.8000000,148096
comex.GC,D,10/02/21,000000,1844.8000000,1856.6000000,1834.4000000,1836.3000000,167113
comex.GC,D,11/02/21,000000,1836.5000000,1848.6000000,1819.5000000,1822.5000000,139048
comex.GC,D,12/02/21,000000,1822.5000000,1831.5000000,1810.1000000,1824.8000000,153155
comex.GC,D,14/02/21,000000,1826.0000000,1827.1000000,1820.0000000,1822.4000000,13790
comex.GC,D,15/02/21,000000,1822.3000000,1827.0000000,1815.5000000,1824.9000000,68234
comex.GC,D,16/02/21,000000,1824.9000000,1825.9000000,1785.1000000,1792.1000000,286323
comex.GC,D,17/02/21,000000,1792.1000000,1792.9000000,1767.9000000,1781.4000000,255843
comex.GC,D,18/02/21,000000,1781.4000000,1788.8000000,1759.0000000,1766.1000000,236341
comex.GC,D,19/02/21,000000,1766.1000000,1790.9000000,1766.0000000,1783.1000000,190507
comex.GC,D,21/02/21,000000,1782.0000000,1788.3000000,1778.6000000,1782.8000000,28395
comex.GC,D,22/02/21,000000,1782.7000000,1815.2000000,1782.7000000,1811.9000000,209933
comex.GC,D,23/02/21,000000,1812.0000000,1813.3000000,1794.5000000,1808.6000000,181318
comex.GC,D,24/02/21,000000,1808.6000000,1809.2000000,1782.2000000,1796.4000000,217679
comex.GC,D,25/02/21,000000,1796.4000000,1799.8000000,1763.3000000,1765.8000000,310525
comex.GC,D,26/02/21,000000,1765.8000000,1768.5000000,1714.9000000,1733.0000000,306195
comex.GC,D,28/02/21,000000,1732.8000000,1749.6000000,1731.6000000,1747.8000000,32802
comex.GC,D,01/03/21,000000,1747.9000000,1757.4000000,1704.6000000,1711.1000000,242404
comex.GC,D,02/03/21,000000,1711.0000000,1739.1000000,1708.3000000,1733.5000000,201204
comex.GC,D,03/03/21,000000,1733.5000000,1734.1000000,1699.4000000,1713.1000000,240330
comex.GC,D,04/03/21,000000,1713.1000000,1721.6000000,1683.0000000,1689.2000000,254429
comex.GC,D,05/03/21,000000,1689.0000000,1705.7000000,1683.8000000,1698.2000000,178257
comex.GC,D,07/03/21,000000,1701.6000000,1712.0000000,1700.3000000,1704.8000000,33265
comex.GC,D,08/03/21,000000,1704.8000000,1706.6000000,1673.3000000,1685.1000000,192915
comex.GC,D,09/03/21,000000,1685.1000000,1718.7000000,1684.6000000,1711.1000000,200969
comex.GC,D,10/03/21,000000,1711.0000000,1732.4000000,1705.6000000,1730.0000000,159458
comex.GC,D,11/03/21,000000,1730.0000000,1738.0000000,1714.3000000,1716.8000000,162808
comex.GC,D,12/03/21,000000,1716.8000000,1728.0000000,1696.6000000,1725.8000000,168890
comex.GC,D,14/03/21,000000,1726.5000000,1732.6000000,1722.6000000,1725.6000000,21701
comex.GC,D,15/03/21,000000,1725.5000000,1733.2000000,1719.2000000,1732.0000000,135110
comex.GC,D,16/03/21,000000,1731.9000000,1740.5000000,1724.4000000,1734.7000000,158196
comex.GC,D,17/03/21,000000,1734.7000000,1754.2000000,1722.0000000,1747.4000000,216704
comex.GC,D,18/03/21,000000,1747.5000000,1751.4000000,1716.6000000,1730.6000000,236365
comex.GC,D,19/03/21,000000,1730.5000000,1746.1000000,1728.7000000,1743.9000000,159550
comex.GC,D,21/03/21,000000,1745.6000000,1747.0000000,1731.5000000,1739.2000000,27091
comex.GC,D,22/03/21,000000,1739.2000000,1742.1000000,1726.4000000,1734.7000000,158792
comex.GC,D,23/03/21,000000,1734.7000000,1742.0000000,1722.3000000,1730.6000000,176869
comex.GC,D,24/03/21,000000,1730.7000000,1738.4000000,1725.7000000,1734.4000000,124952
comex.GC,D,25/03/21,000000,1734.5000000,1744.8000000,1720.3000000,1723.2000000,192553
comex.GC,D,26/03/21,000000,1723.2000000,1735.5000000,1718.8000000,1731.6000000,94750
comex.GC,D,28/03/21,000000,1731.5000000,1732.6000000,1724.8000000,1727.8000000,10014
comex.GC,D,29/03/21,000000,1727.7000000,1728.0000000,1703.1000000,1705.2000000,61792
comex.GC,D,30/03/21,000000,1705.4000000,1706.5000000,1676.5000000,1679.6000000,32658
comex.GC,D,31/03/21,000000,1679.5000000,1716.3000000,1678.6000000,1713.6000000,197329
comex.GC,D,01/04/21,000000,1713.5000000,1732.0000000,1710.7000000,1730.3000000,143249
comex.GC,D,02/04/21,000000,1728.4000000,1728.4000000,1728.4000000,1728.4000000,1
comex.GC,D,04/04/21,000000,1728.4000000,1730.8000000,1725.2000000,1725.7000000,9161
comex.GC,D,05/04/21,000000,1725.8000000,1736.4000000,1721.6000000,1734.3000000,107309
comex.GC,D,06/04/21,000000,1734.4000000,1746.7000000,1728.2000000,1739.0000000,142967
comex.GC,D,07/04/21,000000,1739.1000000,1744.1000000,1731.2000000,1739.1000000,116305
comex.GC,D,08/04/21,000000,1739.1000000,1759.4000000,1739.1000000,1753.6000000,138556
comex.GC,D,09/04/21,000000,1753.5000000,1753.9000000,1730.8000000,1744.1000000,148445
comex.GC,D,11/04/21,000000,1744.5000000,1745.0000000,1737.2000000,1739.0000000,14820
comex.GC,D,12/04/21,000000,1739.1000000,1746.2000000,1727.0000000,1731.8000000,124097
comex.GC,D,13/04/21,000000,1731.8000000,1749.9000000,1723.2000000,1744.3000000,162783
comex.GC,D,14/04/21,000000,1744.3000000,1750.7000000,1732.3000000,1738.7000000,139760
comex.GC,D,15/04/21,000000,1738.7000000,1770.6000000,1737.9000000,1763.9000000,191924
comex.GC,D,16/04/21,000000,1763.8000000,1784.7000000,1761.9000000,1777.3000000,150060
comex.GC,D,18/04/21,000000,1778.8000000,1784.0000000,1773.3000000,1777.9000000,24450
comex.GC,D,19/04/21,000000,1777.9000000,1790.4000000,1765.6000000,1773.4000000,172660
