<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTKM,D,05/02/20,000000,89.6900000,91.3000000,88.5300000,90.5000000,3879230
RTKM,D,06/02/20,000000,91.0200000,91.3700000,88.9000000,88.9100000,2175200
RTKM,D,07/02/20,000000,89.0500000,89.9000000,87.8400000,88.2000000,2150300
RTKM,D,10/02/20,000000,88.5300000,90.8000000,88.0200000,90.6900000,3161280
RTKM,D,11/02/20,000000,90.9800000,91.9500000,88.6900000,91.9500000,3616890
RTKM,D,12/02/20,000000,91.9800000,92.0200000,90.1000000,91.0000000,2351550
RTKM,D,13/02/20,000000,91.0000000,91.3200000,89.5600000,90.0700000,2082160
RTKM,D,14/02/20,000000,90.0900000,91.2800000,89.8000000,90.2500000,1731500
RTKM,D,17/02/20,000000,90.7700000,91.2000000,90.0100000,90.2200000,747230
RTKM,D,18/02/20,000000,90.2500000,90.3900000,88.0100000,89.0200000,2405080
RTKM,D,19/02/20,000000,89.5000000,90.1600000,88.1300000,89.7700000,2199960
RTKM,D,20/02/20,000000,89.2600000,90.2400000,89.2100000,89.2900000,1202260
RTKM,D,21/02/20,000000,89.2800000,89.4700000,88.1000000,89.2400000,1013780
RTKM,D,25/02/20,000000,88.1000000,90.2700000,87.6000000,89.2000000,1709570
RTKM,D,26/02/20,000000,88.1300000,89.4000000,85.9700000,88.2000000,2652420
RTKM,D,27/02/20,000000,87.9400000,88.4200000,86.0000000,86.5000000,4960800
RTKM,D,28/02/20,000000,85.8500000,86.8600000,79.8900000,86.6800000,7294610
RTKM,D,02/03/20,000000,86.8900000,88.5500000,82.2000000,86.9200000,4537500
RTKM,D,03/03/20,000000,87.5000000,87.8100000,84.3500000,86.3600000,5240420
RTKM,D,04/03/20,000000,85.3600000,85.3600000,82.2500000,83.9300000,3714300
RTKM,D,05/03/20,000000,84.0300000,84.6000000,80.6800000,82.2700000,4187180
RTKM,D,06/03/20,000000,81.5000000,81.7900000,78.0000000,80.1700000,6289270
RTKM,D,10/03/20,000000,75.1600000,80.7600000,72.5100000,75.0000000,8821160
RTKM,D,11/03/20,000000,75.9500000,75.9500000,71.5600000,71.5600000,5455510
RTKM,D,12/03/20,000000,69.9800000,70.9800000,63.5000000,64.0000000,11160010
RTKM,D,13/03/20,000000,64.5200000,68.6000000,63.1800000,64.1500000,9968740
RTKM,D,16/03/20,000000,64.6800000,67.7500000,62.1600000,67.1800000,7599900
RTKM,D,17/03/20,000000,67.7500000,68.2700000,64.7400000,68.2700000,5199580
RTKM,D,18/03/20,000000,67.9500000,68.9600000,65.0000000,68.0000000,5032170
RTKM,D,19/03/20,000000,67.2700000,70.1000000,65.2600000,69.5000000,6563320
RTKM,D,20/03/20,000000,69.9900000,71.5000000,66.3700000,66.3700000,8842380
RTKM,D,23/03/20,000000,64.9600000,66.0000000,63.2700000,65.4000000,6254850
RTKM,D,24/03/20,000000,65.9900000,67.7600000,65.9100000,67.1000000,6199460
RTKM,D,25/03/20,000000,67.9900000,71.9000000,66.0100000,68.0700000,7384920
RTKM,D,26/03/20,000000,68.9200000,72.5000000,66.6000000,69.8800000,5225230
RTKM,D,27/03/20,000000,70.5900000,71.8600000,67.0500000,67.1900000,3372810
RTKM,D,30/03/20,000000,67.0000000,71.0500000,66.9200000,70.7200000,3947950
RTKM,D,31/03/20,000000,71.1100000,74.0000000,65.7100000,74.0000000,6339630
RTKM,D,01/04/20,000000,73.9000000,73.9000000,71.1800000,72.0000000,4090420
RTKM,D,02/04/20,000000,73.7000000,73.8800000,71.5600000,72.0000000,5050250
RTKM,D,03/04/20,000000,71.7700000,75.9600000,71.7400000,73.5900000,5105820
RTKM,D,06/04/20,000000,74.5000000,78.2000000,74.0400000,76.5300000,5221310
RTKM,D,07/04/20,000000,78.0600000,79.5000000,77.5900000,78.6700000,6166440
RTKM,D,08/04/20,000000,78.6800000,79.0000000,76.3000000,79.0000000,3630160
RTKM,D,09/04/20,000000,79.8800000,80.0000000,77.9000000,78.4500000,3881140
RTKM,D,10/04/20,000000,78.7800000,78.7800000,77.3000000,78.1700000,1702580
RTKM,D,13/04/20,000000,77.8900000,77.9400000,76.0000000,77.0000000,1792520
RTKM,D,14/04/20,000000,77.4900000,79.5700000,77.4900000,78.7000000,2941590
RTKM,D,15/04/20,000000,78.5000000,79.9300000,77.7900000,77.8100000,7454760
RTKM,D,16/04/20,000000,77.9200000,79.4700000,73.0000000,78.1300000,5471700
RTKM,D,17/04/20,000000,79.4100000,80.9400000,78.0000000,78.2600000,3049410
RTKM,D,20/04/20,000000,78.8800000,79.6800000,77.8100000,78.0600000,3050740
RTKM,D,21/04/20,000000,77.0700000,78.5200000,75.0000000,77.0800000,4925460
RTKM,D,22/04/20,000000,76.9000000,79.1000000,76.5300000,77.2300000,3502060
RTKM,D,23/04/20,000000,78.1000000,79.0500000,77.2300000,78.0000000,2545280
RTKM,D,24/04/20,000000,78.0000000,79.3000000,77.2800000,77.3800000,3680750
RTKM,D,27/04/20,000000,77.8600000,79.1900000,77.5000000,79.1200000,2245190
RTKM,D,28/04/20,000000,79.0000000,82.2000000,78.7100000,81.9000000,5033460
RTKM,D,29/04/20,000000,82.0400000,83.1300000,81.3400000,82.7000000,3855590
RTKM,D,30/04/20,000000,83.0000000,83.7800000,80.4000000,82.1000000,4145880
RTKM,D,04/05/20,000000,81.3700000,83.3000000,79.3900000,82.7600000,3151410
RTKM,D,05/05/20,000000,82.9000000,83.8500000,81.6000000,82.4200000,3074820
RTKM,D,06/05/20,000000,82.5500000,82.6800000,81.3400000,81.6000000,2762560
RTKM,D,07/05/20,000000,81.7400000,82.8500000,81.5700000,81.9400000,1417810
RTKM,D,08/05/20,000000,82.5000000,82.7200000,81.0200000,82.5500000,1284920
RTKM,D,12/05/20,000000,82.7900000,82.9700000,81.7000000,81.8000000,1500380
RTKM,D,13/05/20,000000,81.7100000,81.7300000,79.9200000,80.1500000,1837080
RTKM,D,14/05/20,000000,79.7500000,82.0000000,79.7300000,81.9500000,2568620
RTKM,D,15/05/20,000000,82.1300000,82.9000000,80.7300000,80.8800000,2714520
RTKM,D,18/05/20,000000,81.2000000,82.6900000,81.2000000,82.3800000,3212510
RTKM,D,19/05/20,000000,82.9000000,83.9000000,81.9100000,82.8400000,4206020
RTKM,D,20/05/20,000000,82.9200000,83.4100000,82.0500000,82.2000000,2653940
RTKM,D,21/05/20,000000,82.6200000,82.6800000,81.2600000,81.4600000,2457520
RTKM,D,22/05/20,000000,81.2500000,81.7500000,80.7400000,81.6200000,2022070
RTKM,D,25/05/20,000000,81.7000000,82.4800000,81.7000000,82.0300000,1288160
RTKM,D,26/05/20,000000,82.2500000,82.9400000,81.1300000,81.5200000,2147740
RTKM,D,27/05/20,000000,81.6100000,82.6000000,80.2400000,81.2100000,3012880
RTKM,D,28/05/20,000000,81.5000000,82.4000000,80.7700000,82.4000000,2536910
RTKM,D,29/05/20,000000,82.0000000,82.9200000,81.2100000,82.9200000,3893660
RTKM,D,01/06/20,000000,83.1000000,83.5200000,82.0100000,83.5000000,2862620
RTKM,D,02/06/20,000000,83.6000000,85.1000000,83.0100000,84.4400000,4024940
RTKM,D,03/06/20,000000,84.6500000,85.5800000,83.0000000,84.7200000,2987280
RTKM,D,04/06/20,000000,84.4700000,85.1200000,83.1800000,85.0000000,3187540
RTKM,D,05/06/20,000000,84.9700000,85.1100000,84.0200000,84.9000000,1983280
RTKM,D,08/06/20,000000,84.6100000,84.7900000,83.9300000,84.2000000,1640180
RTKM,D,09/06/20,000000,84.3800000,84.9000000,83.0700000,84.9000000,2520680
RTKM,D,10/06/20,000000,84.4000000,85.3000000,84.0200000,84.9800000,3037920
RTKM,D,11/06/20,000000,84.5000000,85.3500000,82.7100000,84.0000000,2980780
RTKM,D,15/06/20,000000,82.8200000,83.9000000,81.2400000,82.6800000,4312880
RTKM,D,16/06/20,000000,83.1000000,83.5000000,80.6700000,82.5600000,9501310
RTKM,D,17/06/20,000000,82.6900000,83.5000000,81.9100000,82.6900000,2405610
RTKM,D,18/06/20,000000,82.6900000,84.8700000,82.1500000,84.5000000,4459670
RTKM,D,19/06/20,000000,84.6000000,86.8000000,84.1800000,86.8000000,6041840
RTKM,D,22/06/20,000000,86.1900000,86.6000000,85.0500000,86.0000000,2694080
RTKM,D,23/06/20,000000,86.3900000,86.4300000,85.0100000,85.2600000,3132750
RTKM,D,25/06/20,000000,84.5000000,87.9900000,83.2300000,86.9600000,5556270
RTKM,D,26/06/20,000000,87.7400000,89.7800000,85.9600000,89.1200000,5639700
RTKM,D,29/06/20,000000,89.1000000,90.3700000,87.5400000,87.7000000,3809230
RTKM,D,30/06/20,000000,88.0500000,89.9100000,87.7000000,87.7000000,3506780
RTKM,D,02/07/20,000000,88.2000000,88.4800000,87.5000000,87.6300000,1853940
RTKM,D,03/07/20,000000,88.2300000,88.3300000,87.6300000,88.0900000,1139520
RTKM,D,06/07/20,000000,88.4500000,90.2500000,88.4500000,89.1000000,5005410
RTKM,D,07/07/20,000000,89.1600000,89.5500000,87.7200000,88.0000000,2421790
RTKM,D,08/07/20,000000,88.2400000,88.5400000,86.6000000,86.6000000,2126220
RTKM,D,09/07/20,000000,87.1700000,87.8600000,85.6000000,85.6000000,1632180
RTKM,D,10/07/20,000000,85.9000000,87.5600000,85.3000000,87.0300000,1289870
RTKM,D,13/07/20,000000,87.4700000,88.0000000,86.5400000,86.8500000,1148940
RTKM,D,14/07/20,000000,86.6100000,86.9500000,84.8100000,85.7000000,2357840
RTKM,D,15/07/20,000000,86.0200000,87.0700000,85.9100000,86.5000000,1357420
RTKM,D,16/07/20,000000,86.7800000,87.2900000,86.5200000,86.7000000,1619100
RTKM,D,17/07/20,000000,86.9900000,87.5000000,86.7400000,86.9800000,1674680
RTKM,D,20/07/20,000000,87.1000000,88.6600000,86.5400000,88.6400000,1535480
RTKM,D,21/07/20,000000,88.5000000,90.8500000,84.0800000,88.1000000,4735670
RTKM,D,22/07/20,000000,88.5000000,90.7700000,88.4100000,89.8700000,3148940
RTKM,D,23/07/20,000000,90.4200000,90.4200000,89.6000000,89.6300000,2236100
RTKM,D,24/07/20,000000,89.5900000,90.3400000,88.9100000,89.5000000,1126280
RTKM,D,27/07/20,000000,90.0200000,90.6500000,89.4700000,90.0000000,1448700
RTKM,D,28/07/20,000000,90.0000000,91.1400000,90.0000000,90.2300000,1499500
RTKM,D,29/07/20,000000,90.5900000,91.9100000,90.0000000,91.2400000,3180840
RTKM,D,30/07/20,000000,91.7800000,91.7800000,89.6700000,90.2200000,1880970
RTKM,D,31/07/20,000000,90.4000000,90.8100000,89.8800000,89.8800000,1546670
RTKM,D,03/08/20,000000,90.2800000,91.2200000,90.2000000,90.7000000,1636350
RTKM,D,04/08/20,000000,91.1100000,93.3500000,90.6400000,93.2800000,4514620
RTKM,D,05/08/20,000000,93.9800000,97.7500000,93.3100000,97.7400000,9684540
RTKM,D,06/08/20,000000,96.9600000,97.3400000,95.1600000,96.5600000,5915130
RTKM,D,07/08/20,000000,96.0000000,97.7300000,95.2000000,96.1100000,3567990
RTKM,D,10/08/20,000000,96.1200000,97.4500000,95.7500000,96.8300000,2963860
RTKM,D,11/08/20,000000,96.8900000,98.1100000,96.0000000,97.2500000,4202770
RTKM,D,12/08/20,000000,97.0000000,97.7100000,96.5500000,97.4800000,3388370
RTKM,D,13/08/20,000000,97.5000000,98.4900000,97.3100000,98.1800000,3916490
RTKM,D,14/08/20,000000,98.0800000,99.5800000,97.4700000,99.2800000,4561590
RTKM,D,17/08/20,000000,99.2500000,100.8400000,98.5500000,99.9400000,6950680
RTKM,D,18/08/20,000000,99.9600000,100.5000000,99.2100000,100.1500000,4782300
RTKM,D,19/08/20,000000,99.9500000,101.7900000,99.5000000,101.5000000,7809600
RTKM,D,20/08/20,000000,96.7700000,98.1500000,96.5300000,97.4500000,8597220
RTKM,D,21/08/20,000000,97.8500000,98.8000000,95.2900000,96.6200000,3656250
RTKM,D,24/08/20,000000,97.2700000,98.2800000,96.6800000,97.7900000,3769680
RTKM,D,25/08/20,000000,97.7900000,98.3400000,96.6400000,96.9100000,2718800
RTKM,D,26/08/20,000000,97.2800000,98.2900000,96.8400000,97.8100000,2282470
RTKM,D,27/08/20,000000,98.2800000,98.2800000,96.9100000,96.9500000,1808480
RTKM,D,28/08/20,000000,97.0800000,98.4000000,96.6000000,97.1400000,3470970
RTKM,D,31/08/20,000000,97.5100000,98.2000000,95.6600000,96.6300000,4045850
RTKM,D,01/09/20,000000,96.8000000,97.9400000,96.1200000,97.2900000,2530980
RTKM,D,02/09/20,000000,97.7000000,97.9200000,95.6500000,95.9700000,3104350
RTKM,D,03/09/20,000000,96.1500000,97.4000000,96.0100000,96.8800000,2715500
RTKM,D,04/09/20,000000,97.0900000,97.9800000,96.6200000,97.2300000,3087950
RTKM,D,07/09/20,000000,97.0700000,97.3500000,95.8000000,96.4600000,2588110
RTKM,D,08/09/20,000000,96.5500000,96.7100000,93.6200000,95.0100000,3222040
RTKM,D,09/09/20,000000,94.6800000,95.6800000,93.9300000,94.5000000,2177770
RTKM,D,10/09/20,000000,94.7100000,95.1800000,94.1100000,94.8200000,1268650
RTKM,D,11/09/20,000000,94.7100000,95.4700000,94.4600000,94.9200000,1785640
RTKM,D,14/09/20,000000,95.1900000,98.0300000,94.9800000,95.3700000,2616550
RTKM,D,15/09/20,000000,95.8500000,96.8000000,95.0700000,96.1900000,2350270
RTKM,D,16/09/20,000000,96.3000000,97.5000000,95.9500000,96.7000000,3223360
RTKM,D,17/09/20,000000,96.5100000,97.5000000,96.2900000,96.9800000,3034460
