<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IMOEX,D,05/02/20,000000,3104.8600000,3137.9700000,3083.2600000,3114.2500000,89542515840
IMOEX,D,06/02/20,000000,3132.8400000,3145.1500000,3086.9100000,3096.6800000,68274902780
IMOEX,D,07/02/20,000000,3103.1300000,3108.2800000,3056.8500000,3087.6300000,72646728796
IMOEX,D,10/02/20,000000,3087.2500000,3092.9300000,3049.3300000,3062.4100000,66051446948
IMOEX,D,11/02/20,000000,3072.3900000,3109.2200000,3069.9000000,3097.5800000,91556273983
IMOEX,D,12/02/20,000000,3103.6400000,3122.2700000,3095.7000000,3122.2700000,83872830883
IMOEX,D,13/02/20,000000,3116.9900000,3122.1900000,3096.9800000,3110.0500000,63560227880
IMOEX,D,14/02/20,000000,3116.4600000,3120.8900000,3084.5700000,3096.8800000,51397252517
IMOEX,D,17/02/20,000000,3099.8600000,3110.0600000,3092.4500000,3110.0600000,36147422395
IMOEX,D,18/02/20,000000,3104.4200000,3104.4200000,3064.1500000,3074.0500000,57353551342
IMOEX,D,19/02/20,000000,3090.0100000,3117.8400000,3086.4100000,3114.5700000,55406709716
IMOEX,D,20/02/20,000000,3120.5100000,3139.5900000,3117.5000000,3125.1000000,56336963229
IMOEX,D,21/02/20,000000,3109.4500000,3129.2400000,3098.7600000,3106.0300000,47793664892
IMOEX,D,25/02/20,000000,3053.3900000,3073.2700000,3002.6800000,3002.6800000,86905007829
IMOEX,D,26/02/20,000000,2989.3100000,3026.2600000,2958.4600000,3017.4200000,107084958243
IMOEX,D,27/02/20,000000,2983.4100000,3002.2000000,2910.4600000,2915.8400000,102823638357
IMOEX,D,28/02/20,000000,2847.0700000,2850.1800000,2744.1800000,2785.0800000,184649721743
IMOEX,D,02/03/20,000000,2845.3400000,2875.3000000,2714.3600000,2765.7700000,144560659500
IMOEX,D,03/03/20,000000,2820.7100000,2844.0400000,2789.7600000,2821.3700000,106771162096
IMOEX,D,04/03/20,000000,2797.1900000,2841.1300000,2779.8500000,2828.0100000,82510191732
IMOEX,D,05/03/20,000000,2856.6700000,2861.6000000,2800.4300000,2816.7000000,80567170588
IMOEX,D,06/03/20,000000,2769.2800000,2782.7700000,2680.0600000,2719.5100000,139178454930
IMOEX,D,10/03/20,000000,2480.7200000,2661.6300000,2435.6200000,2498.9400000,248732636475
IMOEX,D,11/03/20,000000,2536.9200000,2555.4300000,2457.3600000,2492.8800000,141024833349
IMOEX,D,12/03/20,000000,2413.0200000,2413.0200000,2277.5800000,2286.4000000,173022073298
IMOEX,D,13/03/20,000000,2277.6600000,2418.1500000,2275.1600000,2316.3800000,184469011805
IMOEX,D,16/03/20,000000,2294.0500000,2301.1900000,2179.1200000,2266.9000000,140704172457
IMOEX,D,17/03/20,000000,2263.6200000,2313.3400000,2172.5200000,2224.7400000,133391091136
IMOEX,D,18/03/20,000000,2192.7900000,2205.4100000,2097.8400000,2112.6400000,128603185153
IMOEX,D,19/03/20,000000,2139.3600000,2288.0900000,2074.0000000,2275.7000000,160372894970
IMOEX,D,20/03/20,000000,2327.2700000,2418.7400000,2314.7500000,2331.6100000,180698187232
IMOEX,D,23/03/20,000000,2252.9100000,2321.7600000,2213.4900000,2253.3500000,128523207053
IMOEX,D,24/03/20,000000,2349.4700000,2435.2700000,2341.2100000,2415.9700000,126199238953
IMOEX,D,25/03/20,000000,2465.3900000,2518.3800000,2372.3400000,2452.6900000,170179806339
IMOEX,D,26/03/20,000000,2444.5900000,2514.9200000,2403.6000000,2489.9700000,109485216806
IMOEX,D,27/03/20,000000,2494.0200000,2498.3300000,2378.8800000,2401.1100000,95057170139
IMOEX,D,30/03/20,000000,2377.2100000,2435.5300000,2357.5300000,2433.3500000,83152414694
IMOEX,D,31/03/20,000000,2468.0700000,2526.1300000,2459.1900000,2508.8100000,113755975000
IMOEX,D,01/04/20,000000,2465.5600000,2491.6600000,2449.0100000,2473.6100000,80256140704
IMOEX,D,02/04/20,000000,2532.4300000,2562.5400000,2470.8500000,2545.9500000,134240120328
IMOEX,D,03/04/20,000000,2545.8800000,2609.1600000,2533.0600000,2572.2300000,117108960828
IMOEX,D,06/04/20,000000,2597.2800000,2639.5600000,2576.2800000,2622.5900000,89823141209
IMOEX,D,07/04/20,000000,2648.7400000,2688.6700000,2612.9600000,2634.7400000,120867694592
IMOEX,D,08/04/20,000000,2617.6600000,2670.1200000,2603.9900000,2670.1200000,83665607710
IMOEX,D,09/04/20,000000,2688.6600000,2713.5000000,2643.9800000,2701.7700000,117023415634
IMOEX,D,10/04/20,000000,2671.9400000,2680.8900000,2656.4500000,2677.8600000,36513692244
IMOEX,D,13/04/20,000000,2675.7300000,2677.9000000,2610.6100000,2628.8500000,47643715825
IMOEX,D,14/04/20,000000,2653.1400000,2667.5800000,2619.9100000,2631.8300000,82460437952
IMOEX,D,15/04/20,000000,2617.1900000,2617.1900000,2489.9900000,2498.9400000,99986258141
IMOEX,D,16/04/20,000000,2511.5500000,2550.8400000,2468.6500000,2515.0500000,106189551975
IMOEX,D,17/04/20,000000,2553.8700000,2556.4200000,2516.8700000,2534.9700000,70173608170
IMOEX,D,20/04/20,000000,2524.3100000,2546.1400000,2502.3800000,2525.9700000,67663196242
IMOEX,D,21/04/20,000000,2487.6300000,2500.1800000,2431.9800000,2488.0200000,109197015000
IMOEX,D,22/04/20,000000,2474.3200000,2584.6800000,2471.2300000,2573.4100000,97655302076
IMOEX,D,23/04/20,000000,2600.2800000,2620.2400000,2558.3200000,2599.4100000,82087755064
IMOEX,D,24/04/20,000000,2585.5900000,2596.9700000,2551.6600000,2562.0300000,64998483150
IMOEX,D,27/04/20,000000,2572.2000000,2597.6400000,2557.8100000,2570.9100000,53714781405
IMOEX,D,28/04/20,000000,2567.7400000,2644.7900000,2566.9200000,2612.2400000,91839443563
IMOEX,D,29/04/20,000000,2629.2400000,2669.4700000,2617.3400000,2663.1400000,85375068626
IMOEX,D,30/04/20,000000,2684.6200000,2700.9700000,2629.5700000,2650.5600000,103074636334
IMOEX,D,04/05/20,000000,2623.8900000,2641.0300000,2599.7400000,2624.6400000,60831813471
IMOEX,D,05/05/20,000000,2652.9200000,2666.3800000,2634.4900000,2653.5100000,50831285174
IMOEX,D,06/05/20,000000,2659.0800000,2674.9400000,2626.6800000,2632.1000000,67297608617
IMOEX,D,07/05/20,000000,2633.6100000,2664.9900000,2627.4300000,2634.0000000,70256546513
IMOEX,D,08/05/20,000000,2647.8000000,2648.4500000,2613.8300000,2641.5500000,52781422323
IMOEX,D,12/05/20,000000,2633.8600000,2651.9700000,2620.3500000,2642.0400000,69766236612
IMOEX,D,13/05/20,000000,2630.7900000,2630.7900000,2601.2500000,2604.9800000,65122067942
IMOEX,D,14/05/20,000000,2596.1300000,2606.9500000,2564.4400000,2590.3100000,75036648673
IMOEX,D,15/05/20,000000,2616.1400000,2633.2900000,2593.9100000,2593.9100000,69719413922
IMOEX,D,18/05/20,000000,2623.6100000,2694.2500000,2623.6100000,2694.2500000,90270188688
IMOEX,D,19/05/20,000000,2706.8200000,2720.0600000,2683.8100000,2711.7200000,90468989581
IMOEX,D,20/05/20,000000,2706.0700000,2771.2700000,2700.6400000,2770.7900000,101166454638
IMOEX,D,21/05/20,000000,2767.9700000,2794.6000000,2702.6700000,2718.6700000,99060517647
IMOEX,D,22/05/20,000000,2691.5800000,2718.4800000,2687.1800000,2709.3800000,64772612461
IMOEX,D,25/05/20,000000,2720.6800000,2757.9300000,2720.6800000,2757.9300000,37287726909
IMOEX,D,26/05/20,000000,2777.3600000,2796.8500000,2750.5100000,2754.0400000,80629535592
IMOEX,D,27/05/20,000000,2748.2500000,2780.0500000,2711.9000000,2741.0200000,99161791169
IMOEX,D,28/05/20,000000,2747.4100000,2781.2500000,2737.9400000,2779.9800000,82839073066
IMOEX,D,29/05/20,000000,2758.9700000,2765.3100000,2717.8000000,2734.8300000,150217266595
