<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDUAH,D,05/02/21,000000,27.9900000,27.9900000,27.7200000,27.8800000,17
USDUAH,D,07/02/21,000000,27.8800000,27.8800000,27.8800000,27.8800000,1
USDUAH,D,08/02/21,000000,27.8800000,27.8800000,27.6420000,27.7600000,15
USDUAH,D,09/02/21,000000,27.7600000,27.7600000,27.6600000,27.6600000,19
USDUAH,D,10/02/21,000000,27.6600000,27.8900000,27.6300000,27.6300000,9
USDUAH,D,11/02/21,000000,27.6300000,27.7500000,27.6300000,27.7500000,12
USDUAH,D,12/02/21,000000,27.7500000,27.8920000,27.7500000,27.8300000,18
USDUAH,D,14/02/21,000000,27.8300000,27.8300000,27.8300000,27.8300000,1
USDUAH,D,15/02/21,000000,27.8300000,27.8300000,27.7900000,27.8300000,7
USDUAH,D,16/02/21,000000,27.8300000,27.9500000,27.8300000,27.9500000,12
USDUAH,D,17/02/21,000000,27.9500000,27.9500000,27.8050000,27.8200000,16
USDUAH,D,18/02/21,000000,27.8200000,27.8800000,27.8000000,27.8800000,16
USDUAH,D,19/02/21,000000,27.8800000,27.8800000,27.8500000,27.8500000,18
USDUAH,D,22/02/21,000000,27.8500000,27.8700000,27.8400000,27.8400000,15
USDUAH,D,23/02/21,000000,27.8400000,27.9100000,27.8200000,27.9100000,41
USDUAH,D,24/02/21,000000,27.9100000,27.9500000,27.8800000,27.8800000,20
USDUAH,D,25/02/21,000000,27.8800000,27.9200000,27.8700000,27.9200000,20
USDUAH,D,26/02/21,000000,27.9200000,27.9550000,27.9100000,27.9100000,14
USDUAH,D,28/02/21,000000,27.9100000,27.9100000,27.9100000,27.9100000,1
USDUAH,D,01/03/21,000000,27.9100000,27.9100000,27.9100000,27.9100000,8
USDUAH,D,02/03/21,000000,27.9100000,27.9900000,27.8700000,27.9800000,13
USDUAH,D,03/03/21,000000,27.9800000,27.9800000,27.8200000,27.9100000,22
USDUAH,D,04/03/21,000000,27.9100000,27.9100000,27.7150000,27.8400000,30
USDUAH,D,05/03/21,000000,27.8400000,27.8400000,27.7400000,27.7400000,20
USDUAH,D,07/03/21,000000,27.7400000,27.7400000,27.7400000,27.7400000,1
USDUAH,D,08/03/21,000000,27.7400000,27.7500000,27.7400000,27.7400000,15
USDUAH,D,09/03/21,000000,27.7400000,27.7400000,27.6900000,27.6900000,18
USDUAH,D,10/03/21,000000,27.6900000,27.7300000,27.6900000,27.7210000,17
